Movie Title,Runtime,Genre,Award wins,Award nominations,Box Office
Parasite,132,"Comedy, Drama, Thriller",312,271,53369749
Green Book,130,"Biography, Comedy, Drama",62,124,85080171
The Shape of Water,123,"Drama, Fantasy, Romance",142,358,63859435
Moonlight,111,Drama,231,296,27854932
Spotlight,129,"Biography, Crime, Drama",126,143,45055776
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",197,292,42340598
12 Years a Slave,134,"Biography, Drama, History",245,337,56671993
Argo,120,"Biography, Drama, Thriller",97,156,136025503
The Artist,100,"Comedy, Drama, Romance",167,204,44671682
The King's Speech,118,"Biography, Drama, History",112,206,138797449
